c_link,domain,category,c_title,c_retail_price,c_sale_price,c_image-src,c_season_tag,c_product_url,c_product_id,matchlink,m_title,m_retail_price,m_sale_price,m_image-src,m_product_id,m_season_tag
https://www.cettire.com/au/products/bally-obrien-round-toe-flats-926762999,www.davidjones.com,Clothes,Obrien Round-Toe Flats,1287.37,734.76,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/e8b5d9e8d0c856fbd9fa4f3f51ab87da.jpg,,https://www.cettire.com/au/products/bally-obrien-round-toe-flats-926762999,926762999,https://www.davidjones.com/product/bally-ellah-flat-loafer-24708085,ELLAH FLAT LOAFER,970,,https://www.davidjones.com/productimages/medium/1/2347125_21353950_6952932.jpg,24708085,
https://www.cettire.com/au/products/bally-treck-backpack-931786562,www.davidjones.com,Bags,Treck Backpack,2181.76,1414.02,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/97baf310b72d160b4a497208f4dcfd11.jpg,,https://www.cettire.com/au/products/bally-treck-backpack-931786562,cmVhY3Rpb24vcHJvZHVjdDplaHpSenpEd0Eyb05YcmNTeA==,https://www.davidjones.com/product/bally-treck-backpack-26137756,Bally TRECK BACKPACK ,1690,,https://www.davidjones.com/productimages/medium/1/2596674_22527349_13529976.jpg,26137756,
https://www.cettire.com/au/products/bally-balby-squared-toe-ballet-flats-933712056,www.farfetch.com,Shoes,Balby Squared Toe Ballet Flats,1365.9,620.79,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/16520d7c6436ebb187e92f87fd93ab86.jpg,,https://www.cettire.com/au/products/bally-balby-squared-toe-ballet-flats-933712056,cmVhY3Rpb24vcHJvZHVjdDo5UWZSdU5reE5FdlpiZGpSOQ==,https://www.farfetch.com/au/shopping/women/bally-balby-leather-ballerina-shoes-item-22620642.aspx,Bally Balby Leather Ballerina Shoes,1448,850,https://cdn-images.farfetch-contents.com/22/62/06/42/22620642_52682322_1000.jpg,22620642,
https://www.cettire.com/au/products/bally-bar-mini-keep-on-tote-bag-933748110,www.farfetch.com,Bags,Bar Mini Keep On Tote Bag,1091.02,608.62,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/e36b5fcba62eb6d477fdfca03dd5f0df.jpg,,https://www.cettire.com/au/products/bally-bar-mini-keep-on-tote-bag-933748110,cmVhY3Rpb24vcHJvZHVjdDpuUzdSYlNiZ1dUNGNjSk5CaA==,https://www.farfetch.com/au/shopping/women/bally-bar-logo-print-tote-bag-item-23816521.aspx,Bally Bar Logo Print Tote Bag,1099,933,https://cdn-images.farfetch-contents.com/23/81/65/21/23816521_53791884_1000.jpg,23816521,
https://www.cettire.com/au/products/bally-bar-mini-keep-on-tote-bag-937750827,www.farfetch.com,Bags,Bar Mini Keep On Tote Bag,1091.02,608.62,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/498d1db62c97090cad344bc14a627406.jpg,,https://www.cettire.com/au/products/bally-bar-mini-keep-on-tote-bag-937750827,cmVhY3Rpb24vcHJvZHVjdDpmU1lIeUppSkJtOHhMZEZzSw==,https://www.farfetch.com/au/shopping/women/bally-bar-logo-print-tote-bag-item-23816521.aspx,Bally Bar Logo Print Tote Bag,1099,933,https://cdn-images.farfetch-contents.com/23/81/65/21/23816521_53791884_1000.jpg,23816521,
https://www.cettire.com/au/products/bally-bhar-logo-printed-card-holder-914019143,www.farfetch.com,Wallets & Card Holders,Bhar Logo Printed Card Holder,423.47,226.38,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/9d3958ea7608f6e6e293f4fe8a907055.jpg,,https://www.cettire.com/au/products/bally-bhar-logo-printed-card-holder-914019143,914019143,https://www.farfetch.com/au/shopping/men/bally-logo-print-cardholder-item-26893008.aspx,Bally Logo Print Cardholder,420,285,https://cdn-images.farfetch-contents.com/26/89/30/08/26893008_56765168_1000.jpg,26893008,
https://www.cettire.com/au/products/bally-buck-double-wrapped-bracelet-916930951,www.farfetch.com,Accessories,Buck Double Wrapped Bracelet,423.47,226.38,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/f37089b3e52cac3d9ec93146d34e2573.jpg,,https://www.cettire.com/au/products/bally-buck-double-wrapped-bracelet-916930951,cmVhY3Rpb24vcHJvZHVjdDpqdXduOFJEejVXb2hjeEVRQQ==,https://www.farfetch.com/au/shopping/men/bally-logo-buckle-belt-item-27024063.aspx,Bally Logo Buckle Belt,420,285,https://cdn-images.farfetch-contents.com/27/02/40/63/27024063_56782027_1000.jpg,27024063,
https://www.cettire.com/au/products/bally-buckle-detailed-slip-on-slippers-922866814,www.farfetch.com,Shoes,Buckle-Detailed Slip-On Slippers,1189.2,532.58,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/d3c7323e16e5f30ed5c855f7e0cfd152.jpg,,https://www.cettire.com/au/products/bally-buckle-detailed-slip-on-slippers-922866814,922866814,https://www.farfetch.com/au/shopping/women/bally-lulu-nickle-detail-mules-item-19827770.aspx,Bally Lulu Nickle Detail Mules,1291,592,https://cdn-images.farfetch-contents.com/19/82/77/70/19827770_44724957_1000.jpg,19827770,
https://www.cettire.com/au/products/bally-buttoned-long-sleeved-shirt-920764292,www.farfetch.com,Clothes,Buttoned Long-Sleeved Shirt,3220.95,1508.16,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/6eb3d77a9c34ba4fc2707bbad70f11b3.jpg,,https://www.cettire.com/au/products/bally-buttoned-long-sleeved-shirt-920764292,cmVhY3Rpb24vcHJvZHVjdDo3b2F3ZjhpdHIzclNhVDNoZA==,https://www.farfetch.com/bh/shopping/women/bally-silk-shirt-item-26894733.aspx,Bally Silk Shirt,2047,1436,https://cdn-images.farfetch-contents.com/26/89/47/33/26894733_56764648_1000.jpg,26894733,
https://www.cettire.com/au/products/bally-certhe-logo-printed-zipped-clutch-bag-917676304,www.farfetch.com,Bags,Certhe Logo Printed Zipped Clutch Bag,502,267.37,https://d3vfig6e0r0snz.cloudfront.net/rcYjnYuenaTH5vyDF/images/products/b9ede0c0d9e6710b0dbce559a31869df.jpg,,https://www.cettire.com/au/products/bally-certhe-logo-printed-zipped-clutch-bag-917676304,917676304,https://www.farfetch.com/au/shopping/women/bally-certhe-logo-print-clutch-item-18724705.aspx,Bally Certhe Logo Print Clutch,500,339,https://cdn-images.farfetch-contents.com/18/72/47/05/18724705_40760102_1000.jpg,18724705,
