cettirelink,matchlink,domain,category
https://www.cettire.com/au/products/bally-logo-plaque-zipped-shoulder-bag-916930939,https://www.farfetch.com/au/shopping/women/bally-bleyr-shoulder-bag-item-26893002.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-backpack-944100148,https://www.farfetch.com/au/shopping/men/bally-treck-backpack-item-27698433.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-code-explorer-backpack-947706298,https://www.farfetch.com/sa/shopping/men/bally-logo-patch-backpack-item-28700615.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-crossbody-bag-928005562,https://www.farfetch.com/au/shopping/women/bally-bar-daniel-logo-print-crossbody-bag-item-20929445.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-large-tote-bag-937612291,https://www.farfetch.com/au/shopping/men/bally-arkle-tote-bag-item-23720981.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-pin-detailed-shoulder-bag-949372762,https://www.farfetch.com/au/shopping/women/bally-beckett-cross-body-bag-item-29477029.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-pin-detailed-shoulder-bag-949407834,https://www.farfetch.com/au/shopping/women/bally-beckett-shoulder-bag-item-30192718.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-shoulder-bag-949709735,https://www.farfetch.com/eg/shopping/men/bally-leather-shoulder-bag-item-29521263.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-shoulder-bag-950332808,https://www.bally.com.au/en/products/signature-crossbody-bag-in-black-leather-with-a-bally-ribbon-6311416/,www.bally.com.au,Bags
https://www.cettire.com/au/products/bally-logo-printed-studded-shoulder-bag-945864360,NA,NA,Bags
https://www.cettire.com/au/products/bally-logo-printed-top-handle-bag-939176623,https://www.bally.eu/en/products/akelei-tote-bag-in-canvas-6307808/,www.bally.eu,Bags
https://www.cettire.com/au/products/bally-logo-printed-top-handle-bag-944187138,https://www.bally.com.au/en/products/beckett-minibag-in-black-brushed-leather-6309778/,www.bally.com.au,Bags
https://www.cettire.com/au/products/bally-logo-printed-tote-bag-917734113,https://www.farfetch.com/bh/shopping/men/bally-logo-print-tote-bag-item-26892343.aspx,www.farfetch.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-tote-bag-926838040,https://www.davidjones.com/product/bally-bar-keep-on-ew-tote-26238197,www.davidjones.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-tote-bag-927812266,https://www.davidjones.com/product/bally-bar-keep-on-ns-tote-26238196,www.davidjones.com,Bags
https://www.cettire.com/au/products/bally-logo-printed-tote-bag-927838056,https://www.bally.ae/products/bar-keep-on-xs-wam02gcv034i182o,www.bally.ae,Bags
